BASIN,y1,y2,ychange,axis,lsr_ax,dist_cent_ax,sorensen_ax
RKB,2009,2016,7,SF,0.6387347028366076,1.4813727823386957,0.38487898183937935
RKB,2009,2016,7,TMA,-1.5752606573238903,1.2451125402797487,0.25155418483754055
RKB,2009,2016,7,TDR,-0.9964368689231585,1.6436226470277973,0.29473261003811235
RKB,2009,2016,7,sg_rich,-0.3835860173395352,1.78494566000478,0.35320303037428785
RKB,2009,2017,8,TT,-2.389053473434446,1.395617872864383,0.1337614884834605
RKB,2009,2017,8,HW,-2.527595165669581,1.7072580958731638,0.11725960796612102
RKB,2009,2017,8,SF,-1.3257701239301636,1.2531727572640345,0.2774581598481193
RKB,2009,2017,8,TMA,-3.3035932751724832,1.5410853156235824,0.06559255979627981
RKB,2009,2017,8,TDR,-1.4504353756813122,1.6248386852923347,0.25749293910776866
RKB,2009,2017,8,sg_rich,-2.6534228554818373,1.6708447338866241,0.10291711578230257
RKB,2009,2018,9,TT,-0.12283488934197449,1.2887776442002385,0.45773642837441486
RKB,2009,2018,9,HW,-0.6510512012518632,1.370494506686817,0.4045836949647464
RKB,2009,2018,9,SF,0.5481503478249229,0.9757898774862057,0.4367151613487201
RKB,2009,2018,9,TMA,-0.7844497379425334,1.2880683664816557,0.3941670621578034
RKB,2009,2018,9,TDR,-1.1997316229022237,1.2675221193513166,0.37350621877641355
RKB,2009,2018,9,sg_rich,-0.5998699003549901,1.3574358373527486,0.39434146095012423
RKB,2009,2019,10,TT,-3.0204500655575393,1.3491251017721495,0.08020526740067181
RKB,2009,2019,10,HW,-2.9926292404740718,1.3631356334278697,0.08191806838374228
RKB,2009,2019,10,SF,-2.4247007222199057,0.9543961826605616,0.12447342003382611
RKB,2009,2019,10,TMA,-3.871596526192534,1.157254861358055,0.04058056663707504
RKB,2009,2019,10,TDR,-1.7506913892835523,1.3679033779922294,0.2401925390143121
RKB,2009,2019,10,sg_rich,-3.2761434540907515,1.3647129354264842,0.05993836110729077
RKB,2009,2021,12,TT,0.166716391530326,1.685417596443783,0.35813563500392587
RKB,2009,2021,12,HW,0.8716832302532723,1.8266001301543966,0.344951329310144
RKB,2009,2021,12,SF,0.43271143155359787,1.868836696628829,0.3302695122041064
RKB,2009,2021,12,TMA,-0.886363897601229,1.0675471315864031,0.3492160873093269
RKB,2009,2021,12,TDR,-0.7611097080311544,1.527205908650191,0.3067327544026922
RKB,2009,2021,12,sg_rich,0.1153542154220579,1.7968723678396767,0.33942926930137624
RKB,2009,2022,13,TT,0.7535628888195341,2.3887746721291387,0.33615501014102966
RKB,2009,2022,13,HW,1.0707530696345837,2.4509894144651003,0.3083248137038104
RKB,2009,2022,13,SF,1.0990646465733174,2.476103087475816,0.3021594388147247
RKB,2009,2022,13,TMA,-0.7077058948433579,1.252876846094116,0.40108718579700303
RKB,2009,2022,13,TDR,-0.07058870243743993,2.3713310454124796,0.31714557088323797
RKB,2009,2022,13,sg_rich,0.5156676496424007,2.597220264650878,0.29693615581547683
RKB,2009,2023,14,TT,1.4431463080463838,2.4402673481361545,0.27733922552030943
RKB,2009,2023,14,HW,1.4724904225515723,2.4572959753029697,0.27509713087396026
RKB,2009,2023,14,SF,1.5900156997987287,2.5643787680900565,0.25419824838622396
RKB,2009,2023,14,TMA,0.019119420953033362,1.3211056937741825,0.5465831247578234
RKB,2009,2023,14,TDR,0.681636971047709,2.2079024629455306,0.41842251608860703
RKB,2009,2023,14,sg_rich,1.156039370050994,2.598039089182279,0.3077012434871601
RKB,2010,2011,1,TT,-0.21494091156216294,0.28407591010814953,0.6558080715661863
RKB,2010,2011,1,HW,-0.45696592089816307,0.2328296002680762,0.598425423527405
RKB,2010,2011,1,SF,-0.12256303090802187,0.2021410625107348,0.6428072981126072
RKB,2010,2011,1,TMA,0.15573523745717613,0.27500893919196967,0.6676514049101911
RKB,2010,2011,1,TDR,0.18001341811210098,0.3040891151735786,0.6261391509456833
RKB,2010,2011,1,sg_rich,0.07418164587365589,0.2786701492585209,0.6392618639443189
RKB,2010,2012,2,TT,-0.37089930809606325,1.459343493474819,0.4215603786635904
RKB,2010,2012,2,HW,-0.11596745965778375,1.4415205772026578,0.4272998968627163
RKB,2010,2012,2,SF,0.6670915326772425,1.1097832740155191,0.4944722541528449
RKB,2010,2012,2,TMA,-1.2543950034809976,0.7714139613802385,0.3551386952363859
RKB,2010,2012,2,TDR,-0.3277557111665689,1.5493902134769126,0.38664776871759515
RKB,2010,2012,2,sg_rich,-0.009470478991610869,1.4361595580201967,0.43548887760735716
RKB,2010,2013,3,TT,-0.645931811701318,0.5138317391958562,0.5877516388172394
RKB,2010,2013,3,HW,-0.6375486292205619,0.6301298163290259,0.523892334047631
