BASIN,y1,y2,ychange,lsr,dist_cent,jaccard,sorensen,uniq_y1,uniq_y2
JON,2012,2021,9,2.548065795096,3.860701905368411,0.00293060469952546,0.00584408270281763,0.959727385377943,0.9968493590606418
JON,2012,2022,10,2.9487597660639553,3.6548041963998106,0.011823424340376,0.02337052899933381,0.7653333333333333,0.9877023731907404
JON,2012,2023,11,0.591951903902443,4.7728326709770545,0.01788318698417383,0.0351379946399525,0.9506748104641936,0.9727110191022867
JON,2013,2014,1,-3.2155196322409068,1.505987863006254,0.02902703949815336,0.05641647572703158,0.9706596393688623,0.2689486552567237
JON,2013,2015,2,-3.6697208248737088,1.6339677514407076,0.01803553743040496,0.03543203899527508,0.981832512843107,0.2870905587668593
JON,2013,2016,3,1.9051676450813884,2.827198300256068,0.06888281724843774,0.12888750036371385,0.5024598228927517,0.925967168312705
JON,2013,2017,4,2.5919138507636204,2.9904075083492825,0.03213828865364036,0.06227516023179945,0.5530104712041886,0.966530943745653
JON,2013,2018,5,1.2236077238061518,3.360418702711755,0.04329027767077809,0.0829879825343083,0.8174500965872505,0.94629984675715
JON,2013,2019,6,0.4740186371808356,3.287641432087193,0.0163415775703314,0.03215764843429434,0.958091558830485,0.9739121776361644
JON,2013,2021,8,3.0113505230955764,3.917369700259549,5.549764455354126e-4,0.00110933723503522,0.9881773399014778,0.9994180277342876
JON,2013,2022,9,3.4120444940635317,3.6709763374860103,0.00677293675332236,0.01345474536724035,0.7892503536067892,0.9930508008343912
JON,2013,2023,10,1.0552366319020194,4.749551587515923,0.00912173187851779,0.0180785560163041,0.9649939963144838,0.987814058530159
JON,2014,2015,1,-0.4542011926328024,0.9542559922083682,0.2128965171421908,0.3510547093396137,0.7130206787375087,0.5480320119407552
JON,2014,2016,2,5.120687277322295,3.3292032044441355,0.00459501524568256,0.00914799531343247,0.2295081967213115,0.995398686808366
JON,2014,2017,3,5.807433483004527,3.152199209951695,0.00236318127584854,0.00471521963294899,0.2131147540983606,0.9976353052526816
JON,2014,2018,4,4.4391273560470585,3.4274397565616823,0.00532352224702185,0.01059066485408224,0.5461847389558233,0.9946421496250956
JON,2014,2019,5,3.689538269421742,3.3934717878904204,0.00292765657994445,0.00583822085418996,0.8802395209580839,0.9970079598752596
JON,2014,2021,7,6.226870155336483,4.689843452980275,0,0,1,1
JON,2014,2022,8,6.6275641263044385,4.536596308387025,3.777522797673392e-4,7.552192737323019e-4,0.7142857142857143,0.999621890641052
JON,2014,2023,9,4.270756264142926,5.416659587444379,0.00266039117833403,0.00530666455310461,0.8074324324324325,0.9973095974524436
JON,2015,2016,1,5.574888469955098,2.6492083890074536,0.00349539306827911,0.00696643570548267,0.07792207792207793,0.9965035741388152
JON,2015,2017,2,6.261634675637329,2.4386015780377064,0.00185781700221828,0.00370874383707916,0.02631578947368425,0.9981420897097458
JON,2015,2018,3,4.89332854867986,2.7119984705937963,0.00515959163554813,0.01026621380024379,0.310126582278481,0.9948284131301266
JON,2015,2019,4,4.143739462054544,2.5307449959180497,0.00732089084219584,0.0145353698285261,0.5345911949685535,0.9926170247489964
JON,2015,2021,6,6.681071347969286,4.12242679457764,5.011697904030692e-5,1.0022893490918376e-4,0.96,0.9999498226672876
JON,2015,2022,7,7.081765318937241,4.063869748603221,4.666526460503226e-4,9.328699658626544e-4,0.4444444444444444,0.9995331730771349
JON,2015,2023,8,4.724957456775728,5.351362811257082,0.00225009505799866,0.00449008699344338,0.7446808510638299,0.9977350405174312
JON,2016,2017,1,0.6867462056822319,1.9953973492696409,0.1705892399293861,0.2914587527554527,0.5646715328467153,0.7809380344813087
JON,2016,2018,2,-0.6815599212752368,2.3760605384267555,0.13115278393662344,0.23189225328197877,0.8254051541821992,0.654833108238472
JON,2016,2019,3,-1.4311490079005529,2.185130014083915,0.117742947983679,0.21067983152312095,0.8694802509834542,0.4539701979995917
JON,2016,2021,5,1.106182878014188,2.826021186325528,0.05620398936591888,0.1064263909846816,0.7859340659340659,0.9291828507321968
JON,2016,2022,6,1.5068768489821431,3.1454325875886626,0.04345142735959506,0.08328404412565107,0.7704435568635694,0.9491300645520616
JON,2016,2023,7,-0.8499310131793689,6.00385386505624,0.00761205586045379,0.01510910040462636,0.9892162994759316,0.9747716894977168
JON,2017,2018,1,-1.3683061269574686,0.6417596473685786,0.20405761332429292,0.3389499157949901,0.7873872677684249,0.16471040985183755
JON,2017,2019,2,-2.1178952135827847,0.9457587692626483,0.10705512460699693,0.1934052283891488,0.8916655567737486,0.0993485342019544
JON,2017,2021,4,0.4194366723319563,2.1655167812317897,0.186016734376534,0.3136831530025913,0.60458600604586,0.7400480959006952
JON,2017,2022,5,0.8201306432999115,2.3434484242617697,0.13622746995127846,0.23978908018676912,0.607849359991537,0.8273070074617008
JON,2017,2023,6,-1.5366772188616007,4.95747684213378,0.02275451666890915,0.04449653616396661,0.9729662489780296,0.8743169398907104
JON,2018,2019,1,-0.7495890866253161,0.962886547803271,0.28955903554051904,0.4490822483658536,0.6693495662607578,0.3003006012024047
JON,2018,2021,3,1.7877427992894248,2.1418500284296753,0.07222057560172268,0.13471216136883588,0.5301274623406721,0.9213727239978496
JON,2018,2022,4,2.18843677025738,2.3814648697426524,0.05479320700555623,0.10389374266280728,0.484621778886118,0.9422303084334354
JON,2018,2023,5,-0.16837109190413224,4.927893046002114,0.03443284622464525,0.06657338144339542,0.9385847178623244,0.927322649333184
JON,2019,2021,2,2.537331885914741,2.499817091775088,0.05448574286697185,0.10334088106081768,0.2949110974862048,0.9442436106023024
JON,2019,2022,3,2.938025856882696,2.7210217415775397,0.03678915854251011,0.07096748309796623,0.2946350043975374,0.9626366776944332
